district,block_requested,state_2011census,district_2011census,subdistrict_2011census_name,population_2011,households_2011,sc_population_2011,st_population_2011,literate_population_2011,match_status,note
Pune,Shirur,MAHARASHTRA,Pune,Shirur,385414.0,80917.0,32885.0,12030.0,278001.0,MATCHED,
Pune,Junnar,MAHARASHTRA,Pune,Junnar,399302.0,85864.0,17922.0,80922.0,298644.0,MATCHED,
Pune,Khed,MAHARASHTRA,Pune,Khed,450116.0,99477.0,30409.0,49291.0,318253.0,MATCHED,
Pune,Maval,MAHARASHTRA,Pune,Mawal,377559.0,78233.0,36325.0,29208.0,272615.0,MATCHED,
Pune,Daund,MAHARASHTRA,Pune,Daund,380496.0,78294.0,57273.0,9673.0,263989.0,MATCHED,
Nashik,Nashik,MAHARASHTRA,Nashik,Nashik,1755491.0,389061.0,249864.0,182984.0,1374928.0,MATCHED,
Nashik,Dindori,MAHARASHTRA,Nashik,Dindori,315709.0,58271.0,19681.0,175454.0,210976.0,MATCHED,
Nashik,Igatpuri,MAHARASHTRA,Nashik,Igatpuri,253513.0,46129.0,21018.0,102608.0,169629.0,MATCHED,
Nashik,Sinnar,MAHARASHTRA,Nashik,Sinnar,346390.0,67445.0,25226.0,46249.0,248838.0,MATCHED,
Nashik,Yeola,MAHARASHTRA,Nashik,Yevla,271146.0,54299.0,25668.0,29071.0,194171.0,MATCHED,
Nagpur,Nagpur Rural,MAHARASHTRA,Nagpur,Nagpur (Rural),302195.0,70781.0,58781.0,25693.0,237439.0,MATCHED,
Nagpur,Hingna,MAHARASHTRA,Nagpur,Hingna,242198.0,58928.0,38455.0,29783.0,184835.0,MATCHED,
Nagpur,Kamptee,MAHARASHTRA,Nagpur,Kamptee,238870.0,50307.0,52733.0,9623.0,185319.0,MATCHED,
Nagpur,Katol,MAHARASHTRA,Nagpur,Katol,163808.0,37710.0,24929.0,21384.0,124487.0,MATCHED,
Nagpur,Umred,MAHARASHTRA,Nagpur,Umred,154180.0,35521.0,27482.0,23436.0,114358.0,MATCHED,
Aurangabad,Aurangabad,BIHAR,Aurangabad,Aurangabad,283193.0,43336.0,51419.0,136.0,180733.0,MATCHED,
Aurangabad,Paithan,MAHARASHTRA,Aurangabad,Paithan,347973.0,72032.0,48534.0,8015.0,218225.0,MATCHED,
Aurangabad,Gangapur,MAHARASHTRA,Aurangabad,Gangapur,358155.0,76054.0,57036.0,14743.0,232768.0,MATCHED,
Aurangabad,Kannad,MAHARASHTRA,Aurangabad,Kannad,341019.0,67387.0,29919.0,24332.0,217665.0,MATCHED,
Aurangabad,Sillod,MAHARASHTRA,Aurangabad,Sillod,359963.0,70518.0,32439.0,27816.0,222301.0,MATCHED,
Kolhapur,Karvir,MAHARASHTRA,Kolhapur,Karvir,1037713.0,227202.0,145656.0,6143.0,807234.0,MATCHED,
Kolhapur,Panhala,MAHARASHTRA,Kolhapur,Panhala,259417.0,53548.0,34030.0,591.0,184457.0,MATCHED,
Kolhapur,Hatkanangale,MAHARASHTRA,Kolhapur,Hatkanangle,807751.0,171630.0,117004.0,6865.0,604186.0,MATCHED,
Kolhapur,Shirol,MAHARASHTRA,Kolhapur,Shirol,391015.0,83953.0,59931.0,10511.0,291910.0,MATCHED,
Kolhapur,Kagal,MAHARASHTRA,Kolhapur,Kagal,275372.0,59093.0,36662.0,523.0,194094.0,MATCHED,
Bengaluru Rural,Devanahalli,KARNATAKA,Bangalore Rural,Devanahalli,209622.0,46260.0,49517.0,20385.0,143244.0,MATCHED,
Bengaluru Rural,Doddaballapura,KARNATAKA,Bangalore Rural,Dod Ballapur,299594.0,71158.0,60773.0,14259.0,209756.0,MATCHED,
Bengaluru Rural,Hosakote,KARNATAKA,Bangalore Rural,Hosakote,270818.0,60536.0,57882.0,9753.0,186979.0,MATCHED,
Bengaluru Rural,Nelamangala,KARNATAKA,Bangalore Rural,Nelamangala,210889.0,51325.0,45528.0,8506.0,148770.0,MATCHED,
